,,,,,,Maintenance,,,,Commissioning,,,xxxx,,Cancelled due to Machine problem,,xxxxx,rescheduled due to machine pb,,,,,,USER Rescheduled,,
,,,,,,Study,,,,Available,,,xxxx,,Cancelled due to beam line problem ,,xxxxx,rescheduled due to beamline problem pb,,,,,,User did not finish,,
,,,,,,,,,,Proprietary,,,,Reserved for groups with MANY Crystals,,,,,,,,,,User Cancelled,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,MONTH,DATE,WeekDay,Operation,,AMX morning,Local,AMX afternoon,Local,AMX overnight,Local,,FMX morning,Local ,FMX afternoon,Local ,FMX overnight,Local ,,NYX morning,Local,NYX afternoon,Local,NYX overnight,Local,DATE
,,23,Fri,O/I/S,,,,,,,,,bluesky/ophyd,JA,,,,,,,,,,,,23
,,24,Sat,S,,,,,,,,,,,,,,,,,,,,,,24
,,25,Sun,S,,,,,,,,,,,,,,,,,,,,,,25
,,26,Mon,S/O,,BLC,EL,BAG 308318,EL,,EL,,BLC,,RA 308923 ,BA,RA 308923 ,BA,,,,,,,,26
,,27,Tue,O,,BAG 308359,DK,BAG 306386,DK,BAG 306386,DK,,BAG 305035,AS,BAG 305035,AS,BAG 305035,AS,,BAG 308318,,,,,,27
,,28,Wed,O,,BLC,,PR 308027,EL,,EL,,BAG 305035,WS,BAG 305035,WS,BAG 305035,WS,,GU 306329(?),,,,,,28
,,29,Thr,O,,PR 303851,EL,PR 303851,EL,PR 303851,EL,,blsk/oph,,BAG 305046,AS,,AS,,,,,,,,29
,,30,Fri,O,,GU 308229,AS,PR 303851,AS,,AS,,BAG 306544,BA,PR 305587,BA,PR 305587,BA,,,,,,,,30
,,31,Sat,O,,BAG 308164,AS,BAG 308164,AS,,AS,,PR 305587,WS,PR 303851,WS,PR 303851,WS,,,,,,,,31
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,MONTH,,WeekDay,Operation,,AMX morning,Local,AMX afternoon,Local,AMX overnight,Local,,FMX morning,Local ,FMX afternoon,Local ,FMX overnight,Local ,,NYX morning,,NYX afternoon,,NYX overnight,,DATE
,,,,,,9 am - 3 pm,Contact,4 pm -10 pm,Contact,10 pm - 7 am,Contact,,9 am - 3 pm,Contact,4 pm -10 pm,Contact,10 pm - 7am,Contact,,9 am-3 pm,,4 pm-10 pm,,10 pm - 7 am,,
,AUGUST,1,Sun,O,,BAG 308164,EL,BAG 308164,EL,,EL,,PR 303851,,BAG 308164,WS,,,,,,,,,,1
,,2,Mon,O,,BAG 308291,JJ,BAG 308291,JJ,BAG 308291,JJ,,PR 306522,AS,GU 308247,AS,,AS,,,,,,,,2
,,3,Tue,O/M,,,,,,,,,blsk/oph,,,,,,,,,,,,,3
,,4,Wed,M/S,,,,,,,,,,,,,,,,,,,,,,4
,,5,Thur,S/O,,BLC,,BAG 307708,EL,,EL,,BLC,,BAG 308246,MF,BAG 308 246,MF,,,,,,,,5
,,6,Fri,O,,BAG 308552,DK,BAG 305036,DK,BAG 305036,DK,,PR 303851,BA,PR 303851,BA,PR 303851,BA,,,,,,,,6
,,7,Sat,O,,BAG 305133,JJ,PR-SPP 307505,JJ,BAG 305133,JJ,,BAG 305987,AS,PR 306519 ,AS,PR 306519,AS,,,,,,,,7
,,8,Sun,O,,RA 308863,JJ ,RA 309332,JJ,RA 309332,JJ,,Mitegen sample,MF,BAG 308552,BA,PR 303851,BA,,,,,,,,8
,,9,Mon,O,,GU 308247,AS,BAG 305046,AS,BAG 305046,AS,,GU 307320,WS,BAG 305036/BAG 305043,WS,BAG 305036/BAG 305043,WS,,,,,,,,9
,,10,Tue,O,,BAG 305041,JJ,BAG 305043,JJ,BLC ,,,BAG 305421,MF,GU 308247,MF,Open FOE,MF,,,,,,,,10
,,11,Wed,O/S,,,,305041 used it,,,,,,,,,,,,,,,,,,11
,,12,Thur,S/M,,,,,,,,,,,,,,,,,,,,,,12
,,13,Fri,M,,,,,,,,,,,,,,,,,,,,,,13
,,14,Sat,M,,,,,,,,,,,,,,,,,,,,,,14
,,15,Sun,M,,,,,,,,,,,,,,,,,,,,,,15
,,16,Mon,M,,,,,,,,,,,,,,,,,,,,,,16
,,17,Tue,M,,,,,,,,,Ophyd/Bluesky,JA,,,,,,,,,,,,17
,,18,Wed,M,,,,,,,,,,,,,,,,,,,,,,18
,,19,Thu,M,,,,,,,,,,,,,,,,,,,,,,19
,,20,Fri,M,,,,,,,,,,,,,,,,,,,,,,20
,,21,Sat,M,,,,,,,,,,,,,,,,,,,,,,21
,,22,Sun,M,,,,,,,,,,,,,,,,,,,,,,22
,,23,Mon,M,,,,,,,,,,,,,,,,,,,,,,23
,,24,Tue,M,,,,,,,,,Ophyd/Bluesky?,JA,,,,,,,,,,,,24
,,25,Wed,M,,,,,,,,,,,,,,,,,,,,,,25
,,26,Thu,M,,,,,,,,,,,,,,,,,,,,,,26
,,27,Fri,M,,,,,,,,,,,,,,,,,,,,,,27
,,28,Sat,M,,,,,,,,,,,,,,,,,,,,,,28
,,29,Sun,M,,,,,,,,,,,,,,,,,,,,,,29
,,30,Mon,M,,,,,,,,,,,,,,,,,,,,,,30
,,31,Tues,M,,,,,,,,,,,,,,,,,,,,,,31
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Total Operation ,,,,,,,Total Operation ,,,,,,,,,,,,,
,,,,,,Total Availabe,,,,,,,Total Availabe,,,,,,,,,,,,,
,,,,,,Total BLC,,,,,,,Total BLC,,,,,,,,,,,,,
,,,,,,Total PR,,,,,,,Total PR,,,,,,,,,,,,,
